instrument_token,tradingsymbol,time,open,high,low,close,volume
256265,NIFTY 50,2015-04-13 09:15:00 UTC,8801.75,8801.75,8775,8775.75,0
256265,NIFTY 50,2015-04-13 09:16:00 UTC,8774.5,8778,8773.45,8773.7,0
256265,NIFTY 50,2015-04-13 09:17:00 UTC,8773.55,8776.3,8769.25,8770.95,0
256265,NIFTY 50,2015-04-13 09:18:00 UTC,8771.55,8775.3,8768.2,8774.6,0
256265,NIFTY 50,2015-04-13 09:19:00 UTC,8775.25,8775.6,8770.15,8770.45,0
256265,NIFTY 50,2015-04-13 09:20:00 UTC,8770.2,8777.5,8769.2,8776,0
256265,NIFTY 50,2015-04-13 09:21:00 UTC,8775.95,8777.15,8769.15,8769.15,0
256265,NIFTY 50,2015-04-13 09:22:00 UTC,8769.65,8773.5,8769.55,8771.2,0
256265,NIFTY 50,2015-04-13 09:23:00 UTC,8770.95,8773.7,8769.2,8771.45,0
256265,NIFTY 50,2015-04-13 09:24:00 UTC,8771.65,8775.4,8771.3,8774.25,0
256265,NIFTY 50,2015-04-13 09:25:00 UTC,8774.8,8775.45,8771,8774.45,0
256265,NIFTY 50,2015-04-13 09:26:00 UTC,8774.55,8780.35,8774.35,8774.5,0
256265,NIFTY 50,2015-04-13 09:27:00 UTC,8774.2,8780.8,8774.05,8779.8,0
256265,NIFTY 50,2015-04-13 09:28:00 UTC,8779.65,8781.25,8778.95,8781.15,0
256265,NIFTY 50,2015-04-13 09:29:00 UTC,8781.1,8784.7,8781.1,8781.55,0
256265,NIFTY 50,2015-04-13 09:30:00 UTC,8781.45,8782.25,8780.5,8781,0
256265,NIFTY 50,2015-04-13 09:31:00 UTC,8781.3,8782.5,8780,8780.75,0
256265,NIFTY 50,2015-04-13 09:32:00 UTC,8781.25,8783.55,8780.55,8782.1,0
256265,NIFTY 50,2015-04-13 09:33:00 UTC,8781.9,8782.15,8778.25,8780.45,0
256265,NIFTY 50,2015-04-13 09:34:00 UTC,8780.45,8782.3,8778.7,8779.4,0
256265,NIFTY 50,2015-04-13 09:35:00 UTC,8779.3,8784.1,8778.45,8783.1,0
256265,NIFTY 50,2015-04-13 09:36:00 UTC,8783.75,8783.75,8779.35,8780.45,0
256265,NIFTY 50,2015-04-13 09:37:00 UTC,8780.15,8781.1,8774.3,8774.3,0
256265,NIFTY 50,2015-04-13 09:38:00 UTC,8773.7,8776.15,8771.55,8771.55,0
256265,NIFTY 50,2015-04-13 09:39:00 UTC,8772,8775.2,8771.5,8775.05,0
256265,NIFTY 50,2015-04-13 09:40:00 UTC,8775.5,8778,8773.6,8776.45,0
256265,NIFTY 50,2015-04-13 09:41:00 UTC,8775.45,8776.6,8773.8,8774.6,0
256265,NIFTY 50,2015-04-13 09:42:00 UTC,8774.75,8779.7,8774.45,8779.55,0
256265,NIFTY 50,2015-04-13 09:43:00 UTC,8780.1,8781.9,8779.75,8780.5,0
256265,NIFTY 50,2015-04-13 09:44:00 UTC,8780.45,8782.7,8778.3,8778.55,0
256265,NIFTY 50,2015-04-13 09:45:00 UTC,8778.65,8781.8,8777.8,8779.75,0
256265,NIFTY 50,2015-04-13 09:46:00 UTC,8779.95,8780.15,8776.25,8778.1,0
256265,NIFTY 50,2015-04-13 09:47:00 UTC,8777.7,8782.75,8777.7,8782.15,0
256265,NIFTY 50,2015-04-13 09:48:00 UTC,8781.95,8782.8,8780.7,8782.4,0
256265,NIFTY 50,2015-04-13 09:49:00 UTC,8782.55,8782.6,8778.2,8778.8,0
256265,NIFTY 50,2015-04-13 09:50:00 UTC,8778.35,8779.65,8776.05,8777.7,0
256265,NIFTY 50,2015-04-13 09:51:00 UTC,8777.9,8777.9,8775.35,8776.5,0
256265,NIFTY 50,2015-04-13 09:52:00 UTC,8776.9,8779.95,8776.7,8779.95,0
256265,NIFTY 50,2015-04-13 09:53:00 UTC,8780.3,8780.35,8776.55,8777.15,0
256265,NIFTY 50,2015-04-13 09:54:00 UTC,8776.8,8777.45,8772.35,8776.05,0
256265,NIFTY 50,2015-04-13 09:55:00 UTC,8775.65,8778.6,8775.65,8778.3,0
256265,NIFTY 50,2015-04-13 09:56:00 UTC,8778.5,8778.95,8776.5,8777.85,0
256265,NIFTY 50,2015-04-13 09:57:00 UTC,8777.55,8778.95,8776.9,8778.15,0
256265,NIFTY 50,2015-04-13 09:58:00 UTC,8778.45,8779.25,8777.5,8778.6,0
256265,NIFTY 50,2015-04-13 09:59:00 UTC,8778.45,8780.35,8777.6,8778.15,0
256265,NIFTY 50,2015-04-13 10:00:00 UTC,8777.8,8779.7,8777.3,8778.1,0
256265,NIFTY 50,2015-04-13 10:01:00 UTC,8777.65,8778.3,8776.65,8777.1,0
256265,NIFTY 50,2015-04-13 10:02:00 UTC,8777,8777,8774.5,8774.85,0
256265,NIFTY 50,2015-04-13 10:03:00 UTC,8775,8776.3,8774.35,8774.45,0
