,symbol,time,open,high,low,close
0,NIFTY BANK,2015-04-13 09:15:00 UTC,18842.25,18842.25,18778.8,18779.2
1,NIFTY BANK,2015-04-13 09:16:00 UTC,18784.8,18786.2,18777.95,18779.95
2,NIFTY BANK,2015-04-13 09:17:00 UTC,18779.95,18790.3,18779.95,18789.25
3,NIFTY BANK,2015-04-13 09:18:00 UTC,18789.25,18810.1,18786.85,18810.1
4,NIFTY BANK,2015-04-13 09:19:00 UTC,18811.2,18811.6,18800.35,18810.3
5,NIFTY BANK,2015-04-13 09:20:00 UTC,18810.3,18814.45,18803.25,18810.9
6,NIFTY BANK,2015-04-13 09:21:00 UTC,18810.9,18810.9,18787.7,18787.7
7,NIFTY BANK,2015-04-13 09:22:00 UTC,18784.15,18790.75,18777.6,18780.4
8,NIFTY BANK,2015-04-13 09:23:00 UTC,18780.4,18789.65,18780.2,18782.7
9,NIFTY BANK,2015-04-13 09:24:00 UTC,18782.7,18786.5,18780.6,18786.5
10,NIFTY BANK,2015-04-13 09:25:00 UTC,18786.5,18791.3,18777,18779.35
11,NIFTY BANK,2015-04-13 09:26:00 UTC,18779.35,18796.95,18777.5,18778.5
12,NIFTY BANK,2015-04-13 09:27:00 UTC,18778.5,18791.35,18775.95,18783.45
13,NIFTY BANK,2015-04-13 09:28:00 UTC,18783.45,18792.75,18783.45,18791.6
14,NIFTY BANK,2015-04-13 09:29:00 UTC,18791.45,18801.1,18791.45,18794.7
15,NIFTY BANK,2015-04-13 09:30:00 UTC,18794.7,18801.75,18792.8,18795.7
16,NIFTY BANK,2015-04-13 09:31:00 UTC,18796.85,18798.6,18796.25,18797.9
17,NIFTY BANK,2015-04-13 09:32:00 UTC,18797.9,18805.95,18797.9,18804.45
18,NIFTY BANK,2015-04-13 09:33:00 UTC,18804.45,18805.35,18797.4,18800
19,NIFTY BANK,2015-04-13 09:34:00 UTC,18802.3,18803.75,18796.4,18797.75
